ID,"Template Name",Params,"Body Text","Variable Mapping","Keep? (Y/N)"
84,appointmentbooked_001,5,"Dear {{1}} Appointment Request Submitted. Counsellor: {{2}} Date: {{3}} Time: {{4}} Purpose: {{5}}. Status: PENDING CONFIRMATION. You will be notified once confirmed.","{{1}}: student_name, {{2}}: counsellor_name, {{3}}: date, {{4}}: time, {{5}}: purpose",
85,paymentfailed_013,4,"Dear {{1}} Payment Failed. Amount: Rs.{{2}} Transaction ID: {{3}} Reason: {{4}}. If amount was deducted, it will be refunded within 5-7 days. Please try again or contact support.","{{1}}: student_name, {{2}}: amount, {{3}}: transaction_id, {{4}}: reason",
87,paymentfailed_011,4,"Dear {{1}} Payment Failed. Amount: Rs.{{2}} Transaction ID: {{3}} Reason: {{4}}. If amount was deducted it will be refunded within 5-7 days. Please try again or contact support.","{{1}}: student_name, {{2}}: amount, {{3}}: transaction_id, {{4}}: reason",
88,feepaymentsuccess_002,5,"Dear {{1}}, Your payment has been received successfully. Details: Amount: Rs {{2}} Mode: {{3}} Receipt Number: {{4}} Date: {{5}} To view or download the receipt, please log in to the student portal. Thank you. Gyanmanjari Accounts","{{1}}: student_name, {{2}}: amount, {{3}}: mode, {{4}}: receipt_no, {{5}}: date",
91,feeoverdue_026,4,"Dear {{1}} Fee Payment Overdue! Overdue Amount: Rs.{{2}} Days Overdue: {{3}} Late Fee: Rs.{{4}}. Please pay immediately to avoid further penalties. Contact:9429292063/9099941251","{{1}}: student_name, {{2}}: amount, {{3}}: days_overdue, {{4}}: late_fee",
93,refundprocessed_004,4,"Dear {{1}} Refund Processed! Refund Amount: Rs.{{2}} Reference No: {{3}}, Mode: {{4}}. Amount will be credited within 5-7 working days. For queries contact accounts department.","{{1}}: student_name, {{2}}: amount, {{3}}: reference_no, {{4}}: mode",
95,appointmentconfirmed_01,4,"Dear {{1}} Appointment CONFIRMED! Counsellor: {{2}} Date: {{3}} Time: {{4}}. Please arrive 10 minutes early. Bring all required documents. Location: Gyan Manjari Campus","{{1}}: student_name, {{2}}: counsellor_name, {{3}}: date, {{4}}: time",
98,payment_failed001,4,"Dear {{1}}, Payment Failed. Amount: Rs.{{2}}, Transaction ID: {{3}}, Reason: {{4}}. If amount was deducted, it will be refunded within 5-7 days. Please try again or contact support.","{{1}}: student_name, {{2}}: amount, {{3}}: transaction_id, {{4}}: reason",
101,appointmentcancelled_001,3,"Dear {{1}} Appointment Cancelled. Your appointment on {{2}} has been cancelled. Reason: {{3}}. Please book a new appointment through the student portal.","{{1}}: student_name, {{2}}: date_time, {{3}}: reason",
102,appointmentreminder_004,4,"Appointment Reminder. Dear {{1}} Your appointment is {{2}}. Counsellor: {{3}} Time: {{4}}. Please be on time!","{{1}}: student_name, {{2}}: when, {{3}}: counsellor_name, {{4}}: time",
103,gcr_request_approved,6,"Congratulations {{1}}! Your group change request has been APPROVED! Request No: {{2}}, New Group: {{3}}, Fee Impact: {{4}}, Effective Date: {{5}}. {{6}}. Please visit the student portal to view your updated fee structure. Thank you.","{{1}}: student_name, {{2}}: request_no, {{3}}: new_group, {{4}}: fee_impact, {{5}}: date, {{6}}: remarks",
107,gcr_request_cancelled,4,"Dear {{1}}, Your group change request has been cancelled as per your request. Request No: {{2}}, Requested Change: {{3}} to {{4}}. If you wish to submit a new request, please visit the student portal. Thank you","{{1}}: student_name, {{2}}: request_no, {{3}}: current_group, {{4}}: requested_group",
109,profile_updated,2,"Dear {{1}}, Your profile has been updated on {{2}}. If you did not made these changes, please contact admin. Thank you","{{1}}: student_name, {{2}}: date_time",
