template_name,template_category,body_text,variable_names,header_type,approval_status,is_active
registration_success,utility,"Dear {{1}}, Your registration for {{2}} ({{3}}) at Gyan Manjari has been received successfully on {{4}}. Registration ID: {{5}}. Our counsellor will contact you shortly to guide you through the admission process. For queries: 079-12345678","student_name,course_name,group_name,registration_date,registration_id",none,approved,1
admission_confirmed,utility,"Congratulations {{1}}! Your admission to {{2}} {{3}} at Gyan Manjari is CONFIRMED. Admission Letter No: {{4}}, Token Fee Amount: Rs.{{5}}, Scholarship: {{6}}. Please complete token fee payment to activate your student portal. Portal: https://gyanmanjari.com/","student_name,course_name,group_name,admission_letter_no,token_amount,scholarship",none,approved,1
login_credentials,utility,"Dear {{1}}, Your Student Portal login credentials: Login ID: {{2}} (Aadhaar), Password: {{3}} (Mobile). Portal URL: {{4}}. Complete your token fee payment online to fully activate your account. Do not share these credentials with anyone.","student_name,aadhaar_masked,password,portal_url",none,approved,1
counsellor_assigned,utility,"Dear {{1}}, A counsellor has been assigned to guide you through the admission process. Counsellor: {{2}}, Contact: {{3}}. They will reach out to you within {{4}} hours. For immediate queries, call our helpline: 079-12345678","student_name,counsellor_name,counsellor_mobile,hours",none,approved,1
documents_verified,utility,"Dear {{1}}, Your documents have been successfully verified! Status: All documents approved, Verified On: {{2}}, Course: {{3}}. You can now proceed with the fee payment to complete your admission. Login: https://gyanmanjari.com/","student_name,verification_date,course_name",none,approved,1
token_fee_success_online,utility,"Dear {{1}}, Payment Successful! Your token fee of Rs.{{2}} has been received. Receipt No: {{3}}, Transaction ID: {{4}}. Your student portal is now FULLY ACTIVATED. Login: https://gyanmanjari.com/ Thank you for choosing Gyan Manjari!","student_name,amount,receipt_no,transaction_id",none,approved,1
token_fee_success_offline,utility,"Dear {{1}}, Token Fee Received! Amount: Rs.{{2}}. 3 Receipts Generated: GM Receipt (School Fee), MST Receipt (Trust Fee), GCA Receipt (Tuition Fee). Portal Login Credentials: Login ID: {{3}}, Password: {{4}}. Portal: https://gyanmanjari.com/","student_name,total_amount,aadhaar_masked,password",none,approved,1
fee_payment_success,utility,"Dear {{1}}, Payment Received! Amount: Rs.{{2}}, Mode: {{3}}, Receipt No: {{4}}, Date: {{5}}. For receipts, login to student portal. Thank you! - Gyan Manjari Accounts","student_name,amount,payment_mode,receipt_no,payment_date",none,approved,1
fee_reminder,utility,"Dear {{1}}, Fee Payment Reminder. Amount Due: Rs.{{2}}, Due Date: {{3}}, Days Remaining: {{4}}. Pay online to avoid late fee: https://gyanmanjari.com/ For queries: 079-12345678","student_name,amount_due,due_date,days_remaining",none,approved,1
fee_overdue,utility,"Dear {{1}}, Fee Payment Overdue! Overdue Amount: Rs.{{2}}, Days Overdue: {{3}}, Late Fee: Rs.{{4}}. Please pay immediately to avoid further penalties. Contact: 079-12345678","student_name,overdue_amount,days_overdue,late_fee",none,approved,1
refund_processed,utility,"Dear {{1}}, Refund Processed! Refund Amount: Rs.{{2}}, Reference No: {{3}}, Mode: {{4}}. Amount will be credited within 5-7 working days. For queries, contact accounts department.","student_name,refund_amount,reference_no,refund_mode",none,approved,1
payment_failed,utility,"Dear {{1}}, Payment Failed. Amount: Rs.{{2}}, Transaction ID: {{3}}, Reason: {{4}}. If amount was deducted, it will be refunded within 5-7 days. Please try again or contact support.","student_name,amount,transaction_id,failure_reason",none,approved,1
partial_payment,utility,"Dear {{1}}, Partial Payment Received. Amount Paid: Rs.{{2}}, Remaining: Rs.{{3}}, Receipt No: {{4}}. Please complete the remaining payment before due date. Portal: https://gyanmanjari.com/","student_name,amount_paid,remaining_amount,receipt_no",none,approved,1
appointment_booked,utility,"Dear {{1}}, Appointment Request Submitted. Counsellor: {{2}}, Date: {{3}}, Time: {{4}}, Purpose: {{5}}. Status: PENDING CONFIRMATION. You will be notified once confirmed.","student_name,counsellor_name,date,time,purpose",none,approved,1
appointment_confirmed,utility,"Dear {{1}}, Appointment CONFIRMED! Counsellor: {{2}}, Date: {{3}}, Time: {{4}}. Please arrive 10 minutes early. Bring all required documents. Location: Gyan Manjari Campus","student_name,counsellor_name,date,time",none,approved,1
appointment_cancelled,utility,"Dear {{1}}, Appointment Cancelled. Your appointment on {{2}} has been cancelled. Reason: {{3}}. Please book a new appointment through the student portal.","student_name,date_time,reason",none,approved,1
appointment_reminder,utility,"Appointment Reminder. Dear {{1}}, Your appointment is {{2}}. Counsellor: {{3}}, Time: {{4}}. Please be on time!","student_name,when,counsellor_name,time",none,approved,1
gcr_request_submitted,utility,"Hello {{1}}, Your group change request has been submitted successfully! Request No: {{2}}, Current Group: {{3}}, Requested Group: {{4}}. Your request is now pending approval from the Principal. You will be notified once it is reviewed. Track your request at: {{5}}. Thank you, {{6}}","student_name,request_number,current_group,requested_group,tracking_url,institution_name",none,approved,1
